matchId,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess,korea
627a38a91a47549823ae6b78,202205,승,0,0,0,0,0,0,67,1,45,1,4.76667,keyboard,9,6,0,6,6,0,0,0,1,0,7,6,2,0,0,0,122,114,95,92,4,3,0,0,1,1,15,14,5,4,6,0,8,4,Y
62744b390a6c594cdf1dafe8,202205,승,0,0,1,0,0,0,70,0,47,0,4.31667,gamepad,2,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,110,102,88,86,4,1,0,0,1,1,14,12,2,2,5,0,18,8,N
62744b390a6c594cdf1dafe8,202205,패,0,0,1,0,0,0,84,1,53,2,3.40556,gamepad,7,6,0,0,0,0,1,0,0,0,6,0,1,0,0,0,103,96,76,74,5,3,0,0,1,1,20,18,0,0,7,0,13,5,N
626fabf6ca7c3140a5143447,202205,승,0,0,0,0,0,0,101,2,58,3,4.63889,gamepad,8,7,0,3,3,0,0,0,0,0,7,3,0,0,0,0,113,109,96,94,3,2,0,0,1,1,12,12,0,0,8,1,9,4,N
626fabf6ca7c3140a5143447,202205,패,0,0,0,1,0,0,79,1,42,2,3.43333,keyboard,3,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,111,101,89,86,5,5,0,0,4,3,8,6,1,1,11,1,10,2,N
627a8a1e648a7ef971f158ba,202205,패,0,0,3,0,0,0,80,2,48,0,3.78333,gamepad,2,2,0,1,1,0,0,0,0,0,1,1,1,0,0,0,98,83,63,59,8,4,1,0,7,6,15,13,1,1,5,0,27,10,N
627a8a1e648a7ef971f158ba,202205,승,0,0,0,0,0,0,87,1,52,0,4.23889,gamepad,4,4,0,2,2,0,0,0,0,0,4,2,0,0,0,0,107,95,85,79,1,1,0,0,1,1,17,13,2,1,7,0,14,8,N
626f82c1e69c0b6db78c2f14,202205,패,0,0,1,0,0,0,95,2,52,1,3.82778,gamepad,6,3,0,1,1,0,0,0,0,0,4,1,2,0,0,0,106,99,89,87,4,2,0,0,0,0,11,10,1,0,7,0,13,7,Y
626f82c1e69c0b6db78c2f14,202205,승,0,0,1,0,0,0,74,1,48,1,4.18333,gamepad,4,4,0,2,2,0,0,0,0,0,4,2,0,0,0,0,109,102,90,86,3,2,0,0,4,4,10,10,0,0,3,1,19,7,N
62711c8161bfeb2c5460b4ee,202205,승,0,0,1,0,0,0,93,0,47,0,4.21111,gamepad,4,4,0,4,4,0,0,0,0,0,4,4,0,0,0,0,140,132,119,113,4,4,0,0,1,1,14,14,1,0,12,1,5,2,N
62711c8161bfeb2c5460b4ee,202205,패,0,0,2,0,0,0,108,1,53,2,3.97222,gamepad,6,6,0,3,3,0,0,1,0,0,3,3,2,0,0,0,119,115,85,83,8,6,0,0,4,4,21,21,1,1,4,0,12,5,N
6274f26ba5795b3dbb08fcca,202205,승,0,1,0,1,0,0,87,4,48,0,4.51667,keyboard,8,5,0,3,3,0,0,0,0,0,6,3,2,0,0,0,128,114,81,78,6,4,2,0,13,12,22,17,3,3,7,1,15,7,Y
6274f26ba5795b3dbb08fcca,202205,패,0,1,0,0,0,0,99,2,52,3,3.83889,gamepad,4,4,0,1,1,0,0,0,0,0,4,1,0,0,0,0,134,118,109,100,7,5,0,0,1,1,13,10,4,2,8,1,8,5,N
627eaa7086be06caa492c67f,202205,승,0,0,1,0,0,0,76,1,54,1,4.33889,gamepad,9,6,0,4,4,0,0,0,0,0,6,3,3,1,0,0,108,102,78,75,3,3,1,0,4,4,20,18,2,2,5,0,16,7,N
627eaa7086be06caa492c67f,202205,패,0,0,1,2,0,0,78,2,46,2,3.75556,keyboard,2,2,0,2,2,0,0,0,0,0,0,0,2,2,0,0,112,100,81,77,3,0,0,0,4,4,21,19,1,0,7,0,2,2,N
627793fd4f6269b91736dd90,202205,승,0,0,0,0,0,0,80,1,47,0,4.32778,gamepad,5,3,0,2,2,0,0,0,0,0,3,2,2,0,0,0,128,118,95,90,4,4,0,0,1,1,27,23,1,0,10,2,11,6,N
627793fd4f6269b91736dd90,202205,패,0,0,0,0,0,0,90,0,53,1,3.72778,gamepad,4,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,108,102,84,81,1,1,0,0,3,2,18,16,2,2,6,1,10,2,Y
626006ce46822cfd9f4e7e6d,202204,패,2,1,0,0,0,0,33,0,42,0,2.71111,gamepad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,40,36,35,2,1,0,0,0,0,4,4,0,0,4,1,6,2,N
626006ce46822cfd9f4e7e6d,202204,승,1,0,0,0,0,0,52,0,58,0,4.7,gamepad,4,4,0,4,3,0,0,0,0,0,3,3,1,1,0,0,60,59,45,45,2,2,0,0,0,0,13,12,0,0,1,0,2,2,N
62757dd68ae6d05996af1271,202205,승,0,0,0,0,0,0,110,2,60,0,4.51111,gamepad,5,3,0,2,2,0,2,0,0,0,5,2,0,0,0,0,145,135,116,111,8,7,0,0,2,1,15,13,3,3,9,1,5,3,N
62757dd68ae6d05996af1271,202205,패,0,0,0,0,0,0,60,3,40,0,3.55556,gamepad,2,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,81,71,57,54,9,8,2,0,3,1,8,7,2,1,7,0,15,4,N
627555e7f7f1303485e9dfbc,202205,승,0,0,0,0,0,0,94,4,59,1,4.9,gamepad,12,10,0,6,6,0,2,2,0,0,6,3,6,3,0,0,123,109,92,88,5,2,0,0,4,3,18,16,2,0,4,0,11,7,N
627555e7f7f1303485e9dfbc,202205,패,0,0,0,2,0,0,67,1,41,0,3.54444,gamepad,3,3,0,1,1,0,2,0,0,0,3,1,0,0,0,0,106,95,82,76,5,3,0,0,2,2,15,13,1,1,16,0,14,6,N
626bb0014b3f0fd277b2edb2,202205,패,0,0,2,0,0,0,74,1,42,0,3.81111,keyboard,4,2,0,1,1,0,0,0,1,0,3,1,1,0,0,0,95,86,66,63,2,2,0,0,1,1,23,20,0,0,7,0,18,4,N
626bb0014b3f0fd277b2edb2,202205,승,0,0,3,1,0,0,92,1,58,1,4.17778,gamepad,8,7,0,2,2,0,1,0,0,0,8,2,0,0,0,0,118,108,87,83,5,2,0,0,3,1,23,22,0,0,7,1,16,8,N
6280d52d967e2c240af700cb,202205,승,0,0,0,0,0,0,67,0,48,0,4.54444,gamepad,5,4,0,3,3,0,1,1,0,0,5,3,0,0,0,0,124,110,79,72,11,9,1,1,4,3,25,23,3,2,6,1,10,4,N
6280d52d967e2c240af700cb,202205,패,0,0,1,0,0,0,85,2,52,0,3.6,gamepad,5,2,0,0,0,0,1,0,0,0,4,0,1,0,0,0,115,105,95,91,4,2,0,0,1,1,14,10,1,1,6,1,16,2,N
626e1581c3a8ed13f6c8aa98,202205,승,0,0,0,0,0,0,96,1,54,2,4.06667,gamepad,8,6,0,4,4,0,0,0,1,0,6,4,2,0,0,0,126,120,101,98,8,7,0,0,4,3,13,12,0,0,0,0,14,6,Y
626e1581c3a8ed13f6c8aa98,202205,패,0,0,1,1,0,0,73,1,46,0,4.0,gamepad,5,5,0,3,3,0,0,0,0,0,5,3,0,0,0,0,122,114,105,102,2,2,0,0,0,0,13,10,2,0,12,1,10,4,Y
627f9c23ee6d20fe123607f7,202205,승,0,0,0,0,0,0,113,2,49,0,3.98889,gamepad,7,4,8,3,3,0,0,0,0,0,3,2,3,0,1,1,147,138,120,116,1,1,1,0,4,3,20,18,0,0,13,0,19,15,N
627f9c23ee6d20fe123607f7,202205,패,0,0,1,0,0,0,136,4,51,1,4.01667,gamepad,9,6,7,3,3,0,1,0,0,0,5,3,4,0,0,0,186,174,162,154,3,2,0,0,2,2,16,15,1,1,11,0,28,11,N
6282265226858ab5269b0e79,202205,승,0,0,1,0,0,0,103,0,60,3,4.61667,gamepad,6,6,0,4,4,0,0,0,0,0,6,4,0,0,0,0,148,136,125,119,4,1,0,0,3,3,14,12,2,1,2,0,13,7,N
6282265226858ab5269b0e79,202205,패,0,0,0,0,0,0,78,0,40,0,3.67778,keyboard,2,2,0,1,1,0,0,0,0,0,1,0,1,1,0,0,108,95,83,76,2,2,0,0,3,3,18,13,2,1,11,0,4,2,N
6275480eff6b84ffd9c4ce58,202205,패,0,0,1,0,0,0,75,0,43,0,3.67222,gamepad,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,98,86,75,71,1,1,0,0,6,2,13,9,3,3,15,2,13,2,N
